               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.033108,             0.01031,                   0,             0.98583,                   1,               0.995,             0.20263,            0.049886,           0.0074557,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.033209,            0.010376,                   0,              0.9859,                   1,               0.995,             0.25488,            0.048706,           0.0072974,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.031129,           0.0099763,                   0,             0.98436,                   1,               0.995,             0.47272,            0.036821,           0.0066897,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.030798,           0.0098384,                   0,             0.98431,                   1,               0.995,             0.28291,             0.04525,           0.0069094,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.030564,           0.0091366,                   0,             0.98456,                   1,               0.995,             0.22265,            0.049634,           0.0070887,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.032156,           0.0092348,                   0,             0.65526,             0.66667,              0.6375,             0.15714,            0.056307,           0.0074252,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.031662,           0.0096845,                   0,             0.98467,                   1,               0.995,             0.18653,            0.051101,           0.0076228,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.02995,             0.00973,                   0,             0.98385,                   1,               0.995,             0.30965,            0.044581,           0.0074352,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.030904,            0.010341,                   0,               0.984,                   1,               0.995,             0.24971,            0.048017,           0.0071734,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.028462,           0.0097495,                   0,             0.98387,                   1,               0.995,             0.25953,            0.048071,           0.0070319,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.029475,            0.010127,                   0,             0.98382,                   1,               0.995,             0.25805,            0.048452,            0.006993,                   0,            0.000496,            0.000496,            0.000496
